RESULT_IDS;PARTICIPANT_IDS;COMPETITION;TEAMNAME;TAX_CODE;COUNTRY_IDS;SPECIALTY_IDS;RANK;RESULT
15;17;409;N/A;SCHTYL87P70X517Q;6;6;1;1.113
8;10;409;N/A;AGUWHI66V69C777P;6;6;2;1.2598
3;5;409;N/A;WOOWAR48P20C870N;6;6;3;1.4031
1;2;409;N/A;GARHAR17G76P627K;6;6;4;2.0229
2;3;409;N/A;BOWXEN42M99O275U;6;6;5;2.2495
12;14;409;N/A;MCGDEN67E32D778X;6;6;6;2.4758
5;7;794;YellowTeam;JACWHI46Q12Q225C;4;6;1;0.7206
6;8;794;YellowTeam;MOOGAB40E21N439O;4;6;1;0.7206
6;8;794;YellowTeam;MOOGAB40E21N439O;4;6;1;0.7206
7;9;794;YellowTeam;WILTAL57Q57Z344U;4;6;1;0.7206
4;6;794;YellowTeam;DELWAD88W51L278H;4;6;1;0.7206
4;6;794;YellowTeam;DELWAD88W51L278H;4;6;1;0.7206
5;7;794;YellowTeam;JACWHI46Q12Q225C;4;6;1;0.7206
7;9;794;YellowTeam;WILTAL57Q57Z344U;4;6;1;0.7206
17;19;794;teamUSA;JUSSAM30F24D482E;4;6;2;1.3961
16;18;794;teamUSA;MOLEVE42W22Y787F;4;6;2;1.3961
16;18;794;teamUSA;MOLEVE42W22Y787F;4;6;2;1.3961
17;19;794;teamUSA;JUSSAM30F24D482E;4;6;2;1.3961
9;11;794;bestTeam;NICGWE20B70U285L;4;6;3;2.1249
10;12;794;bestTeam;GRECOO47V29K442G;4;6;3;2.1249
11;13;794;bestTeam;DAVRON63X89J922R;4;6;3;2.1249
14;16;794;theWinners;PORBRI77J29V705B;4;6;4;2.2522
13;15;794;theWinners;LANSEB34U82B200M;4;6;4;2.2522
